candidate,family,split,cagr,sharpe,max_drawdown,avg_month,median_month,worst_month,best_month,positive_month_pct,month_ge_10_pct,months
risk_managed_momentum_126-5-21-20-150,risk_managed_momentum,test,0.3038197453852405,1.3155473549656966,-0.17072392162596883,0.024017933423156043,0.025152653600937214,-0.08931702375814787,0.1781843697089125,0.5909090909090909,0.1590909090909091,44
risk_managed_momentum_126-5-21-20-150,risk_managed_momentum,full,0.2536365611334692,1.2173916216406087,-0.33794435673736223,0.02068153260486552,0.014281666811555516,-0.15383596203384742,0.19114069619226104,0.5592105263157895,0.10526315789473684,152
risk_managed_momentum_126-5-21-35-200,risk_managed_momentum,train,0.38867544150325695,1.2122293995600197,-0.40500508183329187,0.03174782264735049,0.015723067411334335,-0.2289897207135071,0.3184694888513504,0.5462962962962963,0.17592592592592593,108
risk_managed_momentum_126-5-21-35-200,risk_managed_momentum,test,0.5494009309313235,1.353095174148207,-0.2831084581965504,0.042797175954857145,0.04648260936429449,-0.141221998693007,0.32887426562962063,0.5909090909090909,0.38636363636363635,44
risk_managed_momentum_126-5-21-35-200,risk_managed_momentum,full,0.43258870661543214,1.2531639605870906,-0.48592603564896375,0.03494631965741821,0.02115869556889105,-0.2289897207135071,0.32887426562962063,0.5592105263157895,0.23684210526315788,152
lowvol_momentum_126-5-21,lowvol_momentum,train,0.17293636666415235,1.0570537545043763,-0.1760162946116447,0.014195123544248962,0.00674789639342388,-0.07359949814177447,0.21714119901207973,0.5370370370370371,0.037037037037037035,108
lowvol_momentum_126-5-21,lowvol_momentum,test,0.262074185124324,1.3359280480970515,-0.16087618264606973,0.020841593278980722,0.015076179293406433,-0.0828180527098783,0.24599959433126273,0.5681818181818182,0.06818181818181818,44
lowvol_momentum_126-5-21,lowvol_momentum,full,0.1976149674207468,1.1420969356708706,-0.19748012371912815,0.016119101625355525,0.008258998322589028,-0.0828180527098783,0.24599959433126273,0.5460526315789473,0.046052631578947366,152
risk_managed_momentum_252-3-5-20-150,risk_managed_momentum,train,0.21508545913989385,1.0959510055724948,-0.2303657309769861,0.01791242801197608,0.0,-0.18707554852502817,0.17205902170700127,0.48148148148148145,0.08333333333333333,108
risk_managed_momentum_252-3-5-20-150,risk_managed_momentum,test,0.34897792135896233,1.4428537356272664,-0.19830169466419945,0.026948356361652537,0.011311476285390087,-0.07666351121031267,0.1928572126683834,0.5909090909090909,0.13636363636363635,44
